Airliner_code,Airliner_name,Airliner_RT
ABT ,Ambeo ,AMBITION 
ABE ,Arberia Airlines ,ARBERIA AIRLINES 
ACS ,Aircraft Sales and Services ,AIRCRAFT SALES 
ABS ,Air Central ,AIR CENTRAL 
ADF ,"Ade, Aviación Deportiva ",ADE AVIACION 
ADT ,Arrendaminetos y Transportes Turisticos ,ARRENDA-TRANS 
AED ,Aie Experience Flight ,AIE EXPERIENCE 
AED ,Aernord ,Aernspa 
AEG ,Air East ,AIR EAST 
AEI ,Air Italy Polska ,POLISH BIRD 
AEK ,Aero Costa Rica ,ACORISA 
AES ,Aerosur Paraguay ,AEROPARAGUAY 
AET ,Aerotime ,AEROTIME 
AFF ,Africa Airways ,AFRIWAYS 
FLA ,Air Florida ,PALM 
MAC ,Air Arabia Maroc ,ARABIA MAROC 
ADO ,Air Do ,AIR DO 
MRY ,Air Marine ,AIR MARINE 
PNK ,Air Pink ,AIRPINK 
AFN ,African International Airlines ,SIMBA 
BDV ,Aberdair Aviation ,ABERDAV 
TTN ,Absolute Flight Services ,TITANIUM 
ATZ ,Ace Air ,ACE TAXI 
ARO ,Acero Taxi ,ACERO 
CRV ,Acropolis Aviation ,ACROPOLIS 
ADC ,AD Astra Executive Charter ,AD ASTRA 
DDS ,Addis Airlines ,ADDIS LINE 
TEC ,ADI Shuttle Group ,TECHJET 
AXX ,Advance Air Luftfahrtgesellschaft ,SKY SHUTTLE 
AAX ,Advance Aviation ,ADVANCE AVIATION 
ADV ,Advanced Flight Training ,ADVANCED 
ALS ,Aeralp ,AERALP 
DRD ,Aereo Dorado ,AEREO DORADO 
FUT ,Aereo Futuro ,AEREO FUTURO 
MMG ,Aereo Ruta Maya ,RUTA MAYA 
AGI ,Aereo Transportes Los Angeles de America ,ANGELES AMERICA 
WWG ,Aereo WWG ,AERO-W 
AKR ,Aero Clinker ,AERO CLINKER 
ARP ,Aero Corporate ,IVORYCORP 
EPU ,Aero Elite Acapulco ,ELITACAPULCO 
GLM ,Aero Services Mali ,GLOBAL MALI 
GUE ,Aero Servicio Guerrero ,AERO GUERRERO 
ABA ,Aero-Beta ,AEROBETA 
AJH ,Aeroaljarafe ,ALJARAFE 
AOB ,Aerocaribe Coro ,CARIBE CORO 
MLL ,Aeroclub de Mallorca ,MALLORCA 
CTD ,Aerocorporativos ,AEROCORPORATIVOS 
PLS ,Aeroflot-Plus ,AEROPLUS 
LIN ,Aerolimousine ,AEROLIMOUSINE 
PCP ,Aerolínea Principal Chile ,PRINCIPAL 
ALT ,Aerolíneas Centrales ,AERLINEAS CENTRALES 
DMJ ,Aerolíneas Damojh ,DAMOJH 
AHL ,Aerolíneas Hidalgo ,HIDALGO 
APR ,Aerolíneas Primordiales ,AEROPERLAS 
ADO ,AIRDO ,AIR DO 
AGM ,Aviation West Charters ,ANGEL MED 
NVD ,Avion Express ,NORDVIND 
BAH ,The Amiri Flight ,BAHRAIN 
LMU ,Al Masria Universal Airlines ,ALMASRIA 
AVD ,"Álamo Aviación, S.L. ",ALAMO 
PNX ,AIS Airlines ,SPINNER 
AHO ,Air Hamburg ,AIR HAMBURG 
BBF ,B-Air Charter ,SPEEDCHARTER 
BBW ,BB Airways ,BEEBEE AIRWAYS 
CBJ ,Beijing Capital Airlines ,CAPITAL JET 
OTA ,Business Aviators ,OUTLAW 
BWD ,Bluewest Helicopters-Greenland ,BLUEWEST 
TBL ,Bell Aliant Regional Communications ,TELCO 
CWR ,Beijing City International Jet ,CITY WORLD 
BJV ,Beijing Vistajet Aviation ,BEIJING VISTA 
BHK ,Blu Halkin ,BLUEHAKIN 
BXJ ,Brixtel Group ,BRIXTEL JET 
BYG ,Bygone Aviation ,BYGONE 
BOB ,Backbone A/S ,BACKBONE 
BTK ,Batik Air ,BATIK 
BBJ ,Blue Air Lines ,BLUE KOREA 
BCJ ,Blue Jet Charters ,BLUE BOY 
BNA ,Bun Air Corporation ,BUN AIR 
PVO ,Bearing Supplies Limited ,PROVOST 
BAA ,Balkan Agro Aviation ,BALKAN AGRO 
BAB ,Bahrain Air BSC (Closed) ,AWAL 
BAE ,BAE Systems ,FELIX 
BAF ,Belgian Air Force ,BELGIAN AIRFORCE 
BAJ ,Baker Aviation ,RODEO 
BAK ,Blackhawk Airways ,BLACKHAWK 
BAL ,Belle Air Europe ,BELLEAIR EUROPE 
BAL ,Britannia Airways ,BRITANNIA 
BAM ,Business Air Services ,BUSINESS AIR 
BAN ,British Antarctic Survey ,PENGUIN 
BAR ,Bradly Air (Charter) Services ,BRADLEY 
BAU ,Bissau Airlines ,AIR BISSAU 
BAV ,Bay Aviation Ltd ,BAY AIR 
BAW ,British Airways ,SPEEDBIRD 
BBA ,Bannert Air ,BANAIR 
BBC ,Biman Bangladesh Airlines ,BANGLADESH 
BBD ,Bluebird Nordic ,BLUE CARGO 
BBS ,Beibars CJSC ,BEIBARS 
BBV ,Bravo Airlines ,BRAVO EUROPE 
BBZ ,Bluebird Aviation ,COBRA 
BCF ,BACH Flugbetriebsges ,BACH 
BCI ,Blue Islands ,BLUE ISLAND 
BCR ,British Charter ,BACKER 
BCT ,BCT Aviation ,BOBCAT 
BCV ,Business Aviation Center ,BUSINESS AVIATION 
BCY ,CityJet ,CITY JET 
BDA ,Blue Dart Aviation ,BLUE DART 
BON ,B&H Airlines ,Air Bosna 
BDF ,Bissau Discovery Flying Club ,BISSAU DISCOVERY 
AYB ,Belgian Army ,BELGIAN ARMY 
BDR ,Badr Airlines ,BADR AIR 
BEA ,Best Aviation Ltd ,BEST AIR 
BED ,Belgorod Aviation Enterprise ,BELOGORYE 
AJC ,Bar Harbor Airlines ,BAR HARBOR 
BEF ,Balear Express ,BALEAR EXPRESS 
BEH ,Bel Air Helicopters ,BLUECOPTER 
BEK ,Berkut Air ,BERKUT 
BET ,BETA - Brazilian Express Transportes Aéreos ,BETA CARGO 
BFC ,Basler Flight Service ,BASLER 
BFG ,Bear Flight ,BEARFLIGHT 
BFL ,Buffalo Airways ,BUFFALO 
BFO ,Bombardier ,BOMBARDIER 
BFR ,Burkina Airlines ,BURKLINES 
BFS ,Business Flight Sweden ,BUSINESS FLIGHT 
BFW ,Bahrain Defence Force ,SUMMAN 
BGH ,BH Air ,BALKAN HOLIDAYS 
BGI ,British Gulf International ,BRITISH GULF 
BGK ,British Gulf International-Fez ,GULF INTER 
BGL ,Benin Golf Air ,BENIN GOLF 
BGM ,Bugulma Air Enterprise ,BUGAVIA 
BGR ,Budget Air Bangladesh ,BUDGET AIR 
BGT ,Bergen Air Transport ,BERGEN AIR 
BHA ,Buddha Air ,BUDDHA AIR 
BHI ,Balkh Airlines ,SHARIF 
BHL ,Bristow Helicopters ,BRISTOW 
BHN ,Bristow Helicopters Nigeria ,BRISTOW HELICOPTERS 
BHO ,Bhoja Airlines ,BHOJA 
BHP ,Belair Airlines ,BELAIR 
BHR ,Bighorn Airways ,BIGHORN AIR 
BHS ,Bahamasair ,BAHAMAS 
BHT ,Bright Air ,BRIGHTAIR 
BHY ,Bosphorus European Airways ,BOSPHORUS 
BID ,Binair ,BINAIR 
BIG ,Big Island Air ,BIG ISLE 
BIH ,British International Helicopters ,BRINTEL 
BIL ,Billund Air Center ,BILAIR 
BIN ,Boise Interagency Fire Center ,BISON-AIR 
BIO ,Bioflight A/S ,BIOFLIGHT 
BIR ,Bird Leasing ,BIRD AIR 
BIZ ,Bizjet Ltd ,BIZZ 
BJA ,Baja Air ,BAJA AIR 
BJC ,Baltic Jet Aircompany ,BALTIC JET 
BJS ,Business Jet Solutions ,SOLUTION 
BKA ,Bankair ,BANKAIR 
BKF ,BF-Lento OY ,BAKERFLIGHT 
BKK ,Blink ,BLINKAIR 
BKJ ,Barken International ,BARKEN JET 
BKP ,Bangkok Airways ,BANGKOK AIR 
BKV ,Bukovyna ,BUKOVYNA 
BLB ,Blue Bird Aviation ,BLUEBIRD SUDAN 
BLC ,Bellesavia ,BELLESAVIA 
BLE ,Blue Line ,BLUE BERRY 
BLF ,Blue1 ,BLUEFIN 
BLG ,Belgavia ,BELGAVIA 
BLH ,Blue Horizon Travel Club ,BLUE HORIZON 
BLJ ,Blue Jet ,BLUEWAY 
BLL ,Baltic Airlines ,BALTIC AIRLINES 
BLN ,Bali International Air Service ,BIAR 
BLS ,Bearskin Lake Air Service ,BEARSKIN 
BLT ,Baltic Aviation ,BALTAIR 
BLV ,Bellview Airlines ,BELLVIEW AIRLINES 
BMA ,BMI ,MIDLAND 
BMR ,BMI Regional ,MIDLAND 
BMD ,British Medical Charter ,BRITISH MEDICAL 
BME ,Briggs Marine Environmental Services ,BRIGGS 
BMH ,Bristow Masayu Helicopters ,MASAYU 
BMI ,Bmibaby ,BABY 
BMJ ,Bemidji Airlines ,BEMIDJI 
BML ,Bismillah Airlines ,BISMILLAH 
BMN ,Bowman Aviation ,BOWMAN 
BMW ,BMW ,BMW-FLIGHT 
BMX ,Banco de Mexico ,BANXICO 
BND ,Bond Offshore Helicopters ,BOND 
BNE ,Benina Air ,BENINA AIR 
BNG ,BN Group Limited ,VECTIS 
BNJ ,Air Service Liège (ASL) ,JET BELGIUM 
BNL ,Blue Nile Ethiopia Trading ,NILE TRADING 
BNR ,Bonair Aviation ,BONAIR 
BNS ,Bancstar - Valley National Corporation ,BANCSTAR 
BNT ,Bentiu Air Transport ,BENTIU AIR 
BNV ,Benane Aviation Corporation ,BENANE 
BNW ,British North West Airlines ,BRITISH NORTH 
BOA ,Boniair ,KUMANOVO 
BOD ,Bond Air Services ,UGABOND 
BOE ,Boeing ,BOEING 
BOF ,Bordaire ,BORDAIR 
BOO ,Bookajet Limited ,BOOKAJET 
BOU ,Bouraq Indonesia Airlines ,BOURAQ 
BPA ,Blue Panorama Airlines ,BLUE PANOROMA 
BPK ,Berkhut ZK ,VENERA 
BPO ,Bundespolizei-Fliegertruppe ,PIROL 
BPS ,Budapest Aircraft Services/Manx2 ,BASE 
BPT ,Bonus Aviation ,BONUS 
BRB ,BRA-Transportes Aéreos ,BRA-TRANSPAEREOS 
BRD ,Brock Air Services ,BROCK AIR 
BRE ,Breeze Ltd ,AVIABREEZE 
BRG ,Bering Air ,BERING AIR 
BRK ,Briansk State Air Enterprise ,BRIANSK-AVIA 
BRN ,Branson Airlines ,BRANSON 
BRO ,BASE Regional Airlines ,COASTRIDER 
BRS ,Brazilian Air Force ,BRAZILIAN AIR FORCE 
BRT ,British Regional Airlines ,BRITISH 
